speaker,file,word,time,rel_time,cq,language,vowel,voicing,place
it09,it09-040,pada,0.9450646224687056,0.857005638192084,0.510988538751435,Italian,a,voiced,coronal
it09,it09-040,pada,0.949460322931607,0.8969665514911878,0.4664374130063624,Italian,a,voiced,coronal
it09,it09-041,pucu,0.7734831401280943,0.05624728679367718,0.29085534657955064,Italian,u,voiceless,velar
it09,it09-041,pucu,0.7786871094571504,0.16566440780861463,0.3807358460279727,Italian,u,voiceless,velar
it09,it09-041,pucu,0.7827405808483264,0.25089149922564746,0.31891432936891945,Italian,u,voiceless,velar
it09,it09-041,pucu,0.7876070301227496,0.3532120233301186,0.34137983604597616,Italian,u,voiceless,velar
it09,it09-041,pucu,0.792175886990217,0.44927545744307257,0.32499258786740814,Italian,u,voiceless,velar
it09,it09-041,pucu,0.7969793762948362,0.5502722038310464,0.3536194784326938,Italian,u,voiceless,velar
it09,it09-041,pucu,0.8013989180532153,0.6431961825922448,0.32064519029801153,Italian,u,voiceless,velar
it09,it09-041,pucu,0.8062619263290383,0.7454443572771786,0.33728133336101207,Italian,u,voiceless,velar
it09,it09-042,podo,0.7667431391833812,0.06213663913236188,0.3270427129086304,Italian,o,voiced,coronal
it09,it09-042,podo,0.7722952881531552,0.11163175356981551,0.28168777594018957,Italian,o,voiced,coronal
it09,it09-042,podo,0.7796169291730868,0.176901158645995,0.7657889591630699,Italian,o,voiced,coronal
it09,it09-042,podo,0.8257278099546992,0.587960612115703,0.5125051798524353,Italian,o,voiced,coronal
it09,it09-042,podo,0.8302968896822697,0.6286920703710742,0.5452370707905732,Italian,o,voiced,coronal
it09,it09-042,podo,0.834579949395866,0.6668737783585543,0.47756969381396086,Italian,o,voiced,coronal
it09,it09-042,podo,0.8396969315097266,0.7124895600457383,0.4894883957153247,Italian,o,voiced,coronal
it09,it09-042,podo,0.8446906128476046,0.7570061662513733,0.5733419521389131,Italian,o,voiced,coronal
it09,it09-042,podo,0.8487964891643064,0.7936083574511277,0.517400288996941,Italian,o,voiced,coronal
it09,it09-042,podo,0.853321271140923,0.8339449195564284,0.5358070102818554,Italian,o,voiced,coronal
it09,it09-042,podo,0.8577034966520982,0.8730106496633017,0.4718777190182147,Italian,o,voiced,coronal
it09,it09-042,podo,0.8626708803402746,0.917292823185573,0.5045201046029159,Italian,o,voiced,coronal
it09,it09-043,paga,0.8867352894590367,0.02153227390320007,0.28662276905056716,Italian,a,voiced,velar
it09,it09-043,paga,0.891727248857833,0.07026345309907725,0.2912996755466337,Italian,a,voiced,velar
it09,it09-043,paga,0.8969212460976369,0.12096691240541711,0.2724948973861499,Italian,a,voiced,velar
it09,it09-043,paga,0.902321959465683,0.17368832095438952,0.30393270687656215,Italian,a,voiced,velar
it09,it09-043,paga,0.9073868832595307,0.22313177377392981,0.20128479170710317,Italian,a,voiced,velar
it09,it09-043,paga,0.9145893419459339,0.2934417015715487,0.2691522282853671,Italian,a,voiced,velar
it09,it09-043,paga,0.9196015211483225,0.34237026515969404,0.2579778427127362,Italian,a,voiced,velar
it09,it09-043,paga,0.9244515129747323,0.38971556625495135,0.23592583108531645,Italian,a,voiced,velar
it09,it09-043,paga,0.9297342981769827,0.44128576780872725,0.1973793939404075,Italian,a,voiced,velar
it09,it09-043,paga,0.9657621794985929,0.7929875747494044,0.7336903977347036,Italian,a,voiced,velar
it09,it09-043,paga,0.9757061434593108,0.8900598966524891,0.5849937160472066,Italian,a,voiced,velar
it09,it09-044,putu,0.804560462873081,0.07357651853027569,0.6118797728007925,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8088348768313753,0.1346395750773432,0.2847048360481361,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8139878821769729,0.20825393715731602,0.3506323488058234,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8183737912962082,0.27090978171782654,0.36223225095431416,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8227421122983232,0.3333143674623316,0.6262873512036472,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8266405547756628,0.38900640285290294,0.46833415355608066,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8312265287686551,0.4545203170385139,0.5812092232901527,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8349031648571116,0.5070436897307544,0.4502134740529281,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8394519218001038,0.572025931773506,0.4496964979935482,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8442340431110215,0.6403419505009085,0.4958214021494014,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8489816882471887,0.708165452446161,0.5489987731043546,Italian,u,voiceless,coronal
it09,it09-044,putu,0.8532450623338258,0.7690707965409831,0.27522514779152446,Italian,u,voiceless,coronal
