speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,pata,9,585.1045225657,1294.6711350669,2248.5073011491,134.9399198439,80,a,voiceless,coronal
it07,pogo,1,486.984075363,902.9733971714,2345.0039823555,131.3824813912,123.5011056317,o,voiced,velar
it07,pogo,2,510.1615312902,909.0435468528,2301.7153665054,133.2429780256,123.5011056317,o,voiced,velar
it07,pogo,3,517.4175625287,903.3388219398,2290.9922084232,134.1284479022,123.5011056317,o,voiced,velar
it07,pogo,4,525.0720574116,893.6344349679,2285.3295634922,134.0343860776,123.5011056317,o,voiced,velar
it07,pogo,5,517.8587116028,881.5997574193,2266.9755415155,134.8091816873,123.5011056317,o,voiced,velar
it07,pogo,6,499.4370397059,853.8874133243,2263.0593032059,135.013604695,123.5011056317,o,voiced,velar
it07,pogo,7,468.4753681979,885.6578784101,2225.3066000903,137.7602049548,123.5011056317,o,voiced,velar
it07,pogo,8,439.7075900478,867.7413352951,2261.3990058943,137.9246598987,123.5011056317,o,voiced,velar
it07,pogo,9,407.3391208305,835.9875984619,2293.7312050859,137.2404607373,123.5011056317,o,voiced,velar
it07,podo,1,510.3806121218,865.591960498,2487.2382887254,127.5945659902,130,o,voiced,coronal
it07,podo,2,523.6034526329,863.8180744697,2522.1443493892,129.5694603147,130,o,voiced,coronal
it07,podo,3,538.140543284,859.3752525293,2523.6141088203,130.5546951325,130,o,voiced,coronal
it07,podo,4,534.4525097154,849.6295332555,2542.5827092289,131.848671392,130,o,voiced,coronal
it07,podo,5,530.6471936672,858.695489332,2545.6939446372,133.7389292277,130,o,voiced,coronal
it07,podo,6,526.7562443778,854.4396867929,2560.0066429618,135.337080752,130,o,voiced,coronal
it07,podo,7,520.2079726389,927.5563196731,2559.391151398,136.6369807466,130,o,voiced,coronal
it07,podo,8,498.5154516366,979.7157644802,2575.0460013259,137.8906289658,130,o,voiced,coronal
it07,podo,9,465.0636912265,1031.2838434178,2625.7621013985,137.2245051663,130,o,voiced,coronal
it07,paca,1,652.0863837792,1114.5581615175,2375.1143748867,119.2797637122,88.7470256549,a,voiceless,velar
it07,paca,2,676.7850029752,1155.8799320736,2401.0469053956,120.3583308489,88.7470256549,a,voiceless,velar
it07,paca,3,692.6110441286,1180.7522035845,2376.8944867226,121.9701936172,88.7470256549,a,voiceless,velar
it07,paca,4,700.2680631982,1185.1529640169,2351.3732515585,122.9628987093,88.7470256549,a,voiceless,velar
it07,paca,5,708.4684152079,1197.3540127859,2342.0577419972,123.807474011,88.7470256549,a,voiceless,velar
it07,paca,6,719.4705550891,1208.4785906613,2309.1611557257,124.886765607,88.7470256549,a,voiceless,velar
it07,paca,7,720.1209801836,1241.8627732585,2255.0675001227,126.5902783585,88.7470256549,a,voiceless,velar
it07,paca,8,660.3850197817,1268.871796256,2205.34638296,128.8062131847,88.7470256549,a,voiceless,velar
it07,paca,9,641.0979383507,1306.5951985367,2200.3649576377,129.043250092,88.7470256549,a,voiceless,velar
